spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2l7UudWZ44l1WbHx6ANod9,Homesick (with Sam Fender),"Noah Kahan, Sam Fender",22,2,-7,IE,2024-02-14,84,True,194416,Homesick (with Sam Fender),2024-01-19,0.465,0.63,6,-6.442,1,0.0398,0.0285,5.3e-06,0.339,0.389,169.833,4
6OON4kMjTFqARMFrRbmlwy,STARS,"Kanye West, Ty Dolla $ign",23,-9,27,IE,2024-02-14,81,True,115238,VULTURES 1,2024-02-09,0.584,0.567,0,-8.272,0,0.0436,0.258,0.121,0.118,0.266,125.991,4
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,24,2,-7,IE,2024-02-14,91,False,228013,Something in the Orange,2022-04-22,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,25,2,-9,IE,2024-02-14,96,False,172964,Strangers,2023-09-01,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,4
1tz4np70ZKhzaXjdgl0J8i,PAID,"Kanye West, Ty Dolla $ign",26,-7,24,IE,2024-02-14,79,True,195117,VULTURES 1,2024-02-09,0.79,0.691,10,-6.992,0,0.221,0.11,0.0,0.296,0.436,120.162,4
22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),"Noah Kahan, Post Malone",27,3,0,IE,2024-02-14,88,True,213817,Dial Drunk (with Post Malone),2023-07-18,0.667,0.613,8,-7.147,1,0.0313,0.121,0.0,0.113,0.681,112.046,4
4oEf84vBYVftf6KmZexhVo,Northern Attitude (with Hozier),"Noah Kahan, Hozier",28,3,1,IE,2024-02-14,85,True,267256,Northern Attitude (with Hozier),2023-11-10,0.486,0.64,3,-8.027,1,0.0551,0.136,7.58e-05,0.105,0.289,122.017,4
3qnbLYCLzKvGIQXFyopS2H,TALKING,"Kanye West, Ty Dolla $ign",29,-9,21,IE,2024-02-14,78,True,185110,VULTURES 1,2024-02-09,0.47,0.454,9,-9.567,1,0.135,0.417,1.74e-06,0.207,0.34,148.383,4
6ibDVMcMUNqZ5eXT9sD4Vy,DNA (Loving You) [feat. Hannah Boleyn],"Billy Gillies, Hannah Boleyn",30,9,-2,IE,2024-02-14,81,False,164919,DNA (Loving You) [feat. Hannah Boleyn],2023-07-28,0.731,0.867,9,-6.169,0,0.0576,0.0112,0.0291,0.0863,0.23,142.048,4
3JvrhDOgAt6p7K8mDyZwRd,Riptide,Vance Joy,31,-3,-13,IE,2024-02-14,86,False,204280,Dream Your Life Away (Special Edition),2014-09-09,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,4
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,32,0,-10,IE,2024-02-14,95,True,219724,GUTS,2023-09-08,0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,138.005,4
6dpLxbF7lfCAnC9QRTjNLK,Home,Good Neighbours,33,13,17,IE,2024-02-14,80,False,157485,Home,2024-01-17,0.583,0.676,6,-4.44,1,0.0298,0.0289,0.0634,0.121,0.134,77.002,4
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,34,13,-1,IE,2024-02-14,96,True,270697,american dream,2024-01-12,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,4
4YSa8VQxjzsski1DOsvkHH,DO IT,"Kanye West, Ty Dolla $ign",35,-6,15,IE,2024-02-14,78,True,225000,VULTURES 1,2024-02-09,0.83,0.69,1,-5.87,1,0.0831,0.188,0.0,0.0795,0.622,107.016,4
6me7F0aaZjwDo6RJ5MrfBD,Evergreen,Richy Mitch & The Coal Miners,36,0,-16,IE,2024-02-14,89,False,87000,RMCM,2017-05-17,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,3
